date,regime,q_0,q_1,q_2,q_3
2005-05-12,3,0.057742074,0.062337693,0.17013854,0.7097817
2005-05-13,3,0.052391898,0.058876716,0.14542909,0.7433022
2005-05-16,3,0.04584471,0.054566752,0.118064426,0.7815241
2005-05-17,3,0.042697318,0.052458104,0.10539597,0.7994486
2005-05-18,3,0.03951301,0.050404646,0.09293304,0.8171493
2005-05-19,3,0.036820315,0.049479555,0.08154749,0.83215266
2005-05-20,3,0.035436656,0.050842155,0.07274051,0.84098065
2005-05-23,3,0.035196766,0.05247161,0.06888455,0.843447
2005-05-24,3,0.034397416,0.052548982,0.06484112,0.84821254
2005-05-25,3,0.036640912,0.06103969,0.06295886,0.8393605
2005-05-26,3,0.046322383,0.08689143,0.06984926,0.796937
2005-05-27,3,0.059537064,0.12681103,0.07947514,0.7341768
2005-05-30,3,0.07789008,0.19689783,0.09040404,0.63480806
2005-05-31,3,0.099118054,0.32539815,0.09574682,0.47973698
2005-06-01,1,0.10680787,0.50049925,0.08434139,0.30835152
2005-06-02,1,0.09675182,0.652984,0.06414759,0.18611658
2005-06-03,1,0.07953368,0.7571063,0.0465128,0.11684725
2005-06-04,1,0.06466015,0.81822896,0.035351533,0.08175932
2005-06-06,1,0.058732256,0.84334135,0.030742433,0.06718395
2005-06-07,1,0.057288293,0.8534621,0.028920982,0.06032863
2005-06-08,1,0.05861203,0.8516922,0.029358724,0.06033708
2005-06-09,1,0.06073021,0.8487701,0.030085731,0.060413986
2005-06-10,1,0.061994478,0.84739894,0.030396322,0.06021028
2005-06-13,1,0.059688948,0.855327,0.028802246,0.056181822
2005-06-14,1,0.057477105,0.8656299,0.02665408,0.050238863
2005-06-15,1,0.056452725,0.8713185,0.025427846,0.04680088
2005-06-16,1,0.057192206,0.87249017,0.025067424,0.04525018
2005-06-17,1,0.059586212,0.8693133,0.025587691,0.045512807
2005-06-20,1,0.061845392,0.8652347,0.026324347,0.046595618
2005-06-21,1,0.0691345,0.8554208,0.027833948,0.04761073
2005-06-22,1,0.08351058,0.8336751,0.031434376,0.051379953
2005-06-23,1,0.098500386,0.81058663,0.03528635,0.05562662
2005-06-24,1,0.10391113,0.8021578,0.03664481,0.057286255
2005-06-27,1,0.10565024,0.79919416,0.03697755,0.058178052
2005-06-28,1,0.13538456,0.75287306,0.044231154,0.06751126
2005-06-29,1,0.1961837,0.6639558,0.05744991,0.08241064
2005-06-30,1,0.34353065,0.47869366,0.079175614,0.09860007
2005-07-01,0,0.54268706,0.28293782,0.08601419,0.088360935
2005-07-04,0,0.6727664,0.17963651,0.07811996,0.06947716
2005-07-05,0,0.728665,0.14121635,0.07115413,0.058964483
2005-07-06,0,0.7236323,0.14543553,0.071561016,0.059371118
2005-07-07,0,0.7328795,0.14318205,0.06768202,0.056256417
2005-07-08,0,0.7166365,0.15753062,0.06799177,0.057841193
2005-07-11,0,0.64253575,0.21729068,0.07282811,0.06734543
2005-07-12,0,0.570306,0.27888128,0.07569036,0.075122364
2005-07-13,0,0.673154,0.19563697,0.06892437,0.062284674
2005-07-14,0,0.7287032,0.15371634,0.06351708,0.05406336
2005-07-15,0,0.7736252,0.12152244,0.058167122,0.046685226
2005-07-18,0,0.8038749,0.10028604,0.054368246,0.041470848
2005-07-19,0,0.80815667,0.09697627,0.05407549,0.040791627
2005-07-20,0,0.7952146,0.10529962,0.056185946,0.043299798
2005-07-21,0,0.8163012,0.090570375,0.05342786,0.039700534
2005-07-22,0,0.8498492,0.06785916,0.048937507,0.03335413
2005-07-25,0,0.85930777,0.060177114,0.048771672,0.03174342
2005-07-26,0,0.8532464,0.06007945,0.053090993,0.033583216
2005-07-27,0,0.83656746,0.06452732,0.060931806,0.037973374
2005-07-29,0,0.82444704,0.06288318,0.071614526,0.041055307
2005-08-01,0,0.8171102,0.06121651,0.07910963,0.04256367
2005-08-02,0,0.7895719,0.06484418,0.096940964,0.048642967
2005-08-03,0,0.75159353,0.072856,0.11758425,0.057966232
2005-08-04,0,0.68487775,0.085585274,0.15513776,0.07439923
2005-08-05,0,0.6064629,0.100271784,0.1976154,0.09564989
2005-08-08,0,0.49707368,0.119774014,0.25218177,0.13097048
2005-08-09,2,0.3380971,0.128197,0.34296426,0.19074169
2005-08-10,2,0.20772836,0.10798648,0.43690634,0.24737884
2005-08-11,2,0.14579968,0.09965953,0.4069743,0.34756657
2005-08-12,3,0.11362599,0.09660061,0.30133945,0.48843402
2005-08-16,3,0.08841989,0.090327695,0.2034198,0.61783254
2005-08-17,3,0.068053916,0.08517371,0.1291278,0.7176445
2005-08-18,3,0.060189307,0.09155786,0.09609998,0.7521528
2005-08-19,3,0.06323745,0.11916078,0.08635779,0.7312439
2005-08-22,3,0.078237794,0.16387796,0.09604533,0.6618389
2005-08-23,3,0.095687106,0.22432677,0.10453954,0.57544667
2005-08-24,3,0.11128775,0.3021146,0.10699039,0.47960722
2005-08-25,3,0.124187455,0.37900403,0.10598385,0.39082468
2005-08-26,1,0.14440109,0.4435998,0.10652308,0.305476
2005-08-29,1,0.17211391,0.49904662,0.103045076,0.22579435
2005-08-30,1,0.23052472,0.49018717,0.10488931,0.17439882
2005-08-31,1,0.34085926,0.40428162,0.11156636,0.14329283
2005-09-01,0,0.49155158,0.2700577,0.1188415,0.11954922
2005-09-02,0,0.6315028,0.15782945,0.11898569,0.091682054
2005-09-05,0,0.7079229,0.10010163,0.12050923,0.07146631
2005-09-06,0,0.69147253,0.086005345,0.15035747,0.0721647
2005-09-08,0,0.6483226,0.08525549,0.18764399,0.0787779
2005-09-09,0,0.5998744,0.086410165,0.22747865,0.08623678
2005-09-12,0,0.543357,0.08816041,0.27368855,0.09479402
2005-09-13,0,0.508822,0.08786574,0.3046298,0.098682486
2005-09-14,0,0.44013608,0.086476274,0.36782703,0.105560645
2005-09-15,2,0.3721252,0.08376843,0.43253866,0.1115677
2005-09-16,2,0.29223835,0.08007187,0.5063441,0.12134573
2005-09-19,2,0.22333086,0.07972066,0.55132186,0.14562662
2005-09-20,2,0.18012674,0.09179829,0.50217026,0.22590478
2005-09-21,2,0.14187846,0.09479132,0.42909923,0.33423105
2005-09-22,3,0.12149484,0.09149199,0.38139227,0.40562087
2005-09-23,3,0.096262395,0.08445941,0.29219276,0.5270855
2005-09-26,3,0.078197494,0.077470735,0.2134694,0.63086236
2005-09-27,3,0.0655099,0.073057145,0.1543909,0.7070421
2005-09-28,3,0.059212737,0.076092534,0.115661934,0.7490328
2005-09-29,3,0.062745444,0.10112229,0.09620026,0.739932
2005-09-30,3,0.083814606,0.17579709,0.10180174,0.6385865
2005-10-03,3,0.10503975,0.31967086,0.10114943,0.47414002
2005-10-04,1,0.107195966,0.50481313,0.08472064,0.30327025
2005-10-05,1,0.09356938,0.6586951,0.0633625,0.18437293
